LSTM_INPUT_SEQ_LEN,LSTM_HIDDEN_SIZE,LSTM_NUM_LAYERS,LSTM_DROPOUT,LSTM_EPOCHS,LSTM_BATCH_SIZE,LSTM_LEARNING_RATE,GARCH_P,GARCH_Q,GARCH_MAE,GARCH_MSE,GARCH_RMSE,LSTM_MAE,LSTM_MSE,LSTM_RMSE,Combined_MAE,Combined_MSE,Combined_RMSE
20,24,1,0.3,20,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.035152162722867246,0.0027686158967143615,0.05261763864631671,0.050009668120106265,0.007539466756317664,0.08683010282337378
20,24,1,0.3,20,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03710372498661775,0.003406614949582452,0.05836621411041196,0.052982753026779614,0.008041065999949817,0.08967199116753133
20,24,1,0.3,30,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.032251290319268835,0.00286761938047447,0.05355015761390876,0.05402346459310111,0.007905656970673412,0.08891376142461532
20,24,1,0.3,30,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03309052186767076,0.002817322648747191,0.05307845748274145,0.054402278878838244,0.008099249647916088,0.08999583128076594
20,24,1,0.3,40,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.02989508446019469,0.0025626795598104823,0.050622915362615005,0.05069634214561771,0.006968227449844249,0.08347590939812664
20,24,1,0.3,40,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03114557905383251,0.002604640948258352,0.051035683087995914,0.05183656562119846,0.007613042560400929,0.08725275101909927
20,24,2,0.3,20,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.046160371897274705,0.0038646724480880627,0.062166489752020444,0.047734291399701714,0.00764658526461639,0.08744475550092407
20,24,2,0.3,20,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.04249171410321047,0.0037102389985869916,0.060911731206615624,0.04947392754633046,0.007846727322777802,0.08858175502200101
20,24,2,0.3,30,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03255372374544673,0.0031275790131819405,0.05592476207532707,0.05071234769247371,0.008371084713906877,0.09149363209484514
20,24,2,0.3,30,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03428055703929434,0.0029296699617319794,0.054126425724704746,0.04947318586498938,0.007516267459083479,0.08669640972429872
20,24,2,0.3,40,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03220852267507017,0.0024278469152325894,0.04927318657477502,0.04744522113405865,0.007066529770295368,0.0840626538380473
20,24,2,0.3,40,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.0337366535915377,0.0028961195250711254,0.05381560670540773,0.04745171164785977,0.006488982412536255,0.08055422032728177
20,24,3,0.3,20,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03999488186523409,0.0038230526411630436,0.06183083891686287,0.04926535216326671,0.008257966318004628,0.0908733531790515
20,24,3,0.3,20,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.04388415519115306,0.0046070253667590865,0.06787507176245994,0.05073278721673359,0.008386526264231189,0.09157797914472228
20,24,3,0.3,30,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03519411965435286,0.003297565091960451,0.05742442940039066,0.05092264418105234,0.008565597990525545,0.09255051588470777
20,24,3,0.3,30,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03921911389532271,0.003926690128103915,0.06266330766967153,0.05269745853923878,0.008954019700630332,0.09462568203521882
20,24,3,0.3,40,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03127359353603836,0.002781981325873809,0.0527444909528361,0.05410361061342001,0.008281376978489598,0.09100207128680972
20,24,3,0.3,40,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03330719311421569,0.0032592822445030338,0.05709012387885521,0.05392846101258209,0.008479599145740277,0.0920847389405013
20,36,1,0.3,20,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03373801640999658,0.0026076221049595983,0.05106488132718609,0.047544955054862996,0.0067161046777045085,0.0819518436504299
20,36,1,0.3,20,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03401136157125488,0.002764436816743355,0.052577911871273045,0.05162366496632251,0.00727398780326964,0.08528767673743752
20,36,1,0.3,30,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.031763101207032726,0.003229607921545065,0.05682963946344429,0.04827999851294343,0.0067152873928837615,0.08194685712633377
20,36,1,0.3,30,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.035017642765783605,0.00277709214262509,0.052698122761869706,0.047637369175086965,0.006786810945019206,0.08238210330538548
20,36,1,0.3,40,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.033269801315010464,0.0031166587437157552,0.05582704312173228,0.04686959801704343,0.006520381505148127,0.08074887928106574
20,36,1,0.3,40,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.032277598457438564,0.0032181849025791124,0.05672904813743231,0.04898305580446823,0.006878237694981435,0.08293514149611994
20,36,2,0.3,20,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03993892915384609,0.0032713260746862786,0.05719550746943573,0.04696560495147583,0.006708413030691778,0.08190490236055335
20,36,2,0.3,20,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03698841578835671,0.003462021470300385,0.058838945183444485,0.056127810159861194,0.008588362789950536,0.09267342008337955
20,36,2,0.3,30,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.029856224971415976,0.002528383918261725,0.050283038077086444,0.04965170731312896,0.007261748899692677,0.08521589581581994
20,36,2,0.3,30,16,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.032463818491056985,0.0026840786989491315,0.05180809491719544,0.049951506659702286,0.00705948253296185,0.08402072680572246
20,36,2,0.3,40,8,0.001,1,1,0.09057653655168632,0.02271409401544185,0.1507119571083922,0.03327758559765626,0.0030819654298151495,0.05551545217158147,0.04980599239496583,0.008427433137400898,0.09180105194060087
